rI,gI,bI,rT,gT,bT,rM,gM,bM
2,6,4,80,94,102,40,,
2,6,4,63,77,87,31.5,,
2,6,4,75,71,67,37.5,,
2,6,4,80,75,70,40,,
2,6,4,66,70,73,33,,
2,6,4,61,71,78,30.5,,
2,6,4,48,75,98,24,,
2,6,4,59,87,108,29.5,,
2,6,4,67,80,89,33.5,,
2,6,4,63,78,90,31.5,,
2,6,4,74,104,122,37,,
2,6,4,77,85,89,38.5,,
2,6,4,109,86,63,54.5,,
2,6,4,83,67,53,41.5,,
2,6,4,63,62,62,31.5,,
2,5,4,62,60,58,31,,
2,6,4,96,78,60,48,,
2,6,4,79,64,51,39.5,,
2,6,4,80,92,99,40,,
2,6,4,104,81,58,52,,
2,6,4,90,81,70,45,,
2,6,4,68,83,93,34,,
2,6,4,73,73,71,36.5,,
2,6,4,107,103,94,53.5,,
2,6,4,110,83,56,55,,
2,6,4,93,73,55,46.5,,
2,6,4,67,60,54,33.5,,
2,6,3,75,60,47,37.5,,
2,6,4,60,75,86,30,,
2,6,4,59,62,63,29.5,,
2,6,4,79,62,48,39.5,,
2,6,4,79,63,49,39.5,,
2,6,4,82,63,47,41,,
2,6,4,70,69,67,35,,
2,6,4,53,71,86,26.5,,
2,6,4,58,63,67,29,,
2,6,4,59,61,62,29.5,,
2,6,4,77,69,61,38.5,,
2,6,4,66,82,93,33,,
2,6,4,98,107,110,49,,
2,6,4,69,79,84,34.5,,
2,5,4,55,54,52,27.5,,
2,5,4,76,53,34,38,,
2,5,3,84,54,31,42,,
2,6,4,100,68,42,50,,
2,6,4,79,64,50,39.5,,
2,5,4,75,46,25,37.5,,
2,5,4,51,49,48,25.5,,
2,6,4,49,67,82,24.5,,
2,6,4,64,84,99,32,,
2,6,4,49,75,98,24.5,,
2,5,4,41,52,61,20.5,,
2,6,4,43,66,87,21.5,,
2,6,4,54,63,71,27,,
2,6,4,48,86,115,24,,
2,6,4,50,82,107,25,,
2,5,4,37,49,60,18.5,,
2,6,4,47,74,98,23.5,,
2,6,4,37,76,110,18.5,,
2,6,4,69,80,88,34.5,,
2,6,4,84,76,66,42,,
2,6,4,65,62,59,32.5,,
2,6,4,56,65,73,28,,
2,6,4,72,73,72,36,,
2,6,4,91,82,71,45.5,,
2,6,4,109,83,58,54.5,,
2,6,4,109,95,79,54.5,,
2,5,4,55,62,67,27.5,,
2,5,4,55,63,70,27.5,,
2,6,4,65,71,75,32.5,,
2,6,4,64,84,98,32,,
2,6,4,95,80,63,47.5,,
2,6,4,94,84,72,47,,
2,6,4,114,100,83,57,,
2,6,4,89,87,82,44.5,,
2,6,4,68,82,93,34,,
2,6,4,55,70,83,27.5,,
2,6,4,43,66,87,21.5,,
2,5,4,36,57,77,18,,
2,6,4,44,64,83,22,,
2,6,4,56,83,105,28,,
2,6,4,59,80,96,29.5,,
2,6,4,76,93,105,38,,
2,6,4,113,106,95,56.5,,
2,6,4,112,85,58,56,,
2,6,4,127,90,52,63.5,,
2,6,4,61,63,65,30.5,,
2,6,4,76,71,65,38,,
2,6,4,107,85,62,53.5,,
2,6,4,65,63,59,32.5,,
2,6,4,75,76,74,37.5,,
2,6,4,76,90,98,38,,
2,6,4,88,95,97,44,,
2,6,4,49,76,98,24.5,,
2,6,4,72,71,68,36,,
2,6,4,43,85,117,21.5,,
2,6,4,29,81,125,14.5,,
2,6,4,65,74,80,32.5,,
2,6,4,74,87,94,37,,
2,6,4,70,74,76,35,,
2,6,4,58,82,101,29,,
2,6,4,84,90,94,42,,
2,6,4,77,88,96,38.5,,
2,6,4,70,80,87,35,,
2,6,4,85,88,88,42.5,,
2,6,4,80,77,73,40,,
2,6,4,87,79,70,43.5,,
2,6,4,70,82,91,35,,
2,6,4,73,78,80,36.5,,
2,6,4,78,81,80,39,,
2,6,4,83,91,94,41.5,,
2,6,4,100,105,104,50,,
2,6,4,75,85,90,37.5,,
2,6,4,63,74,83,31.5,,
2,6,4,75,84,89,37.5,,
2,6,4,97,82,65,48.5,,
2,6,4,63,67,69,31.5,,
2,5,4,41,43,44,20.5,,
2,5,4,48,48,49,24,,
2,5,4,53,53,53,26.5,,
