gM,rbM,rI,gI,bI
5,3,57,45,76
2,2,110,124,119
2,2,92,103,99
6,5,41,38,42
4,4,61,61,58
7,5,41,31,35
4,3,62,56,69
2,1,105,113,147
4,4,57,62,59
2,2,101,90,115
6,4,46,34,60
2,3,73,90,82
7,6,36,33,36
2,2,91,112,104
3,4,54,63,61
5,4,52,46,49
6,5,45,38,48
3,3,64,73,68
5,5,37,47,45
5,6,34,41,38
3,3,54,75,77
2,2,97,122,117
6,6,32,36,34
2,2,124,103,118
7,6,33,31,36
2,2,67,99,85
3,3,71,69,72
5,5,41,48,46
2,2,107,106,121
6,5,38,38,47
2,2,90,95,97
4,4,48,59,59
2,2,81,98,92
6,5,40,40,42
5,4,53,48,54
3,3,75,80,78
4,5,37,49,56
7,6,31,33,39
2,2,94,106,95
2,3,71,99,84
2,1,101,115,134
4,3,62,62,59
2,2,71,92,85
2,2,105,111,112
2,2,97,124,117
1,2,102,135,124
4,3,60,54,69
3,3,61,76,74
3,3,55,67,70
2,2,110,124,117
3,4,61,66,62
5,4,51,47,47
5,4,42,47,54
1,1,125,133,133
5,6,35,45,39
7,4,46,32,76
3,3,54,79,64
4,4,47,54,52
4,4,51,56,56
2,2,96,123,117
4,4,48,61,53
5,5,44,43,41
5,5,47,48,46
1,1,115,136,128
6,4,71,34,45
5,6,34,40,39
4,4,55,54,47
6,6,33,35,36
4,3,62,55,65
3,3,59,68,63
2,1,127,124,126
8,6,37,26,39
2,2,94,95,97
2,3,70,84,82
2,2,94,118,106
1,1,100,136,137
7,6,28,33,42
2,3,79,85,79
5,5,39,48,47
2,1,95,101,135
2,1,85,86,129
3,3,57,65,64
2,2,112,123,122
1,1,123,128,144
5,6,32,40,40
5,3,58,44,75
2,2,98,122,118
6,5,40,36,36
5,3,50,48,65
8,6,32,26,48
1,1,123,138,151
3,3,74,82,77
4,4,41,52,50
3,4,57,63,59
5,5,36,48,49
2,2,77,98,94
2,2,93,108,125
4,3,57,50,76
5,3,69,43,69
4,2,84,55,82
5,5,38,44,45
7,4,43,30,56
3,2,80,82,113
2,2,81,109,100
2,2,103,119,114
3,3,64,76,75
2,2,100,113,107
4,5,40,52,45
3,2,69,66,95
5,4,49,47,47
5,6,32,40,36
8,5,35,26,54
4,4,55,50,52
6,5,42,38,40
3,3,73,79,75
2,2,94,108,96
5,5,44,45,44
6,6,33,35,37
8,5,31,28,58
4,2,64,60,89
1,2,112,136,123
3,3,74,71,74
6,6,38,35,34
5,5,46,45,46
4,4,56,55,53
4,4,54,49,52
2,2,102,122,115
3,3,74,81,75
4,4,50,51,48
2,2,79,92,88
2,2,77,97,95
2,3,78,87,79
4,3,80,58,70
2,2,78,99,93
5,5,43,44,44
1,1,120,148,153
