gM,rbM,rI,gI,bI
22,39,3,7,5
19,30,5,11,10
7,11,17,33,23
22,27,7,9,6
12,28,2,5,4
8,25,1,4,3
21,34,2,6,5
8,18,10,29,16
7,19,8,31,23
11,24,9,21,9
10,30,5,22,14
13,28,1,5,4
20,45,3,9,5
12,14,11,19,22
14,40,1,5,3
12,37,1,6,4
21,33,5,9,6
15,45,3,14,9
13,39,1,4,3
5,16,11,44,22
19,36,5,10,5
23,40,2,7,5
9,16,21,24,10
15,22,2,4,4
5,12,14,44,26
9,16,17,24,11
6,18,9,35,21
10,22,8,23,13
7,18,9,33,20
9,27,7,24,10
20,37,4,10,7
9,14,11,25,27
23,27,2,6,6
12,17,19,19,8
6,28,1,5,3
18,19,2,6,5
20,37,3,7,5
19,25,2,5,5
10,14,13,23,19
12,20,8,19,17
12,33,1,6,4
7,20,9,34,17
9,19,11,24,13
20,45,3,9,6
15,33,2,5,3
13,33,5,17,10
11,15,2,4,4
14,27,7,16,9
7,22,7,31,18
24,28,2,6,5
11,32,1,4,3
8,19,9,29,16
8,15,19,27,12
16,33,5,13,8
22,27,7,9,5
14,27,3,6,4
23,39,3,8,6
5,11,1,4,4
12,14,11,19,23
9,39,1,5,3
5,13,2,5,4
13,37,2,5,3
18,33,1,6,4
13,46,1,6,3
18,38,2,7,5
17,20,13,13,8
23,20,2,6,6
15,25,7,14,10
5,17,9,44,29
8,15,13,29,17
20,32,2,6,4
23,29,7,9,5
5,11,2,4,4
8,21,2,6,3
14,37,1,4,3
15,39,1,5,4
22,31,3,5,4
14,27,2,6,4
21,44,2,5,4
19,29,7,11,7
21,30,6,9,5
9,25,6,26,16
21,33,2,6,4
13,35,2,5,4
9,12,2,4,4
11,19,2,5,4
15,38,2,6,3
14,34,1,5,4
17,24,5,13,16
11,29,6,21,10
16,24,2,4,4
13,20,11,17,10
20,31,3,5,3
7,17,12,31,15
23,27,2,7,6
18,32,2,7,5
22,43,3,8,6
15,34,2,5,3
7,30,1,4,3
12,25,2,6,4
15,36,4,15,10
15,20,1,5,4
12,20,1,5,4
18,35,2,7,5
19,30,4,11,11
8,30,5,27,15
10,14,24,24,10
11,33,2,6,4
14,33,1,6,4
10,19,1,4,3
7,25,6,33,20
19,36,4,10,7
14,32,5,16,10
6,20,8,35,19
9,12,23,25,14
24,40,2,5,4
10,19,14,22,9
10,27,1,5,3
22,29,2,5,4
13,14,23,17,11
18,36,2,7,4
8,22,2,5,4
20,46,1,6,4
20,45,1,5,4
16,44,3,14,9
15,27,2,6,4
24,39,2,5,4
6,15,1,4,4
23,18,2,6,6
20,43,3,8,5
11,38,1,6,3
11,37,4,20,11
20,36,4,10,7
9,24,1,5,3
9,26,7,24,11
21,22,4,5,4
9,24,6,24,18
18,29,6,11,8
20,27,7,10,7
19,34,5,10,6
22,41,4,9,6
22,34,3,6,5
16,32,1,5,3
8,28,6,28,13
9,14,12,25,23
14,37,2,6,3
10,29,1,6,4
9,14,12,25,21
18,45,2,6,3
5,17,8,43,33
8,14,12,27,22
8,24,7,29,14
7,11,24,31,17
