gM,rbM,rI,gI,bI
3,3,62,64,65
6,6,35,35,37
3,4,45,65,69
4,5,48,50,49
6,6,35,37,36
7,6,30,29,36
8,5,33,26,51
3,3,63,64,62
4,3,62,56,69
8,5,37,27,42
5,3,66,42,57
4,3,64,56,71
5,5,43,42,41
3,3,63,69,64
3,3,49,65,79
6,4,47,39,71
2,1,104,110,139
3,3,65,67,64
5,5,47,44,49
3,3,63,71,65
2,1,96,117,129
4,4,50,50,58
5,3,59,41,63
4,5,36,53,47
8,6,27,25,50
4,4,61,60,58
3,3,50,67,71
3,2,84,78,96
2,2,100,126,116
7,6,35,33,35
6,5,36,35,41
4,5,45,58,43
6,5,35,39,44
4,4,51,53,55
6,5,37,38,56
2,2,94,98,112
2,2,87,105,97
4,5,44,49,47
3,3,57,73,69
2,2,94,100,120
5,5,39,43,42
4,5,35,52,44
5,6,35,42,34
4,2,67,60,95
5,5,42,47,44
4,4,59,52,52
5,4,49,47,51
6,4,49,40,54
3,3,72,75,73
4,4,51,57,56
4,5,41,51,45
2,1,109,122,138
1,1,129,140,142
7,6,36,32,35
4,4,50,52,51
5,4,51,46,48
2,2,120,85,104
1,2,103,129,121
2,1,110,114,143
2,2,101,108,107
3,3,79,74,73
2,2,104,84,107
4,3,64,57,61
2,2,107,126,118
7,5,34,33,47
3,3,58,78,68
2,2,85,98,87
2,2,94,94,99
2,3,77,87,79
5,5,45,46,46
2,2,103,126,116
2,1,119,105,144
6,5,36,35,48
6,6,39,35,33
3,2,78,71,114
5,5,45,48,48
6,6,32,34,42
5,3,68,43,67
2,3,74,88,82
5,5,44,46,37
4,4,44,52,50
5,5,42,41,44
1,1,120,148,153
2,2,111,117,119
5,3,53,44,72
2,2,95,90,104
2,3,67,102,81
7,6,34,29,36
3,2,105,71,91
2,2,103,109,104
2,3,70,88,84
4,4,57,56,56
2,1,101,104,128
3,3,68,77,72
3,3,66,63,83
3,2,89,76,126
8,5,35,28,45
5,6,35,43,37
4,3,63,50,71
5,4,43,43,71
3,3,68,73,70
2,1,100,123,147
7,4,44,32,61
2,2,102,95,115
3,4,55,64,58
2,3,68,84,81
2,2,80,93,88
2,2,94,106,95
5,4,58,48,62
7,4,35,32,70
2,2,94,123,113
3,3,68,66,63
3,2,90,63,92
4,5,46,59,47
5,6,39,47,37
1,2,84,132,99
2,2,99,100,104
5,3,52,48,64
5,4,49,48,48
2,2,97,123,111
6,6,29,36,37
5,6,32,45,43
5,4,42,43,53
5,5,39,43,41
4,4,41,60,62
6,4,53,37,55
5,5,39,45,44
4,2,100,57,85
2,2,96,112,110
5,4,49,48,47
6,6,38,38,40
3,3,75,80,75
1,1,109,141,131
5,6,36,40,39
2,2,91,88,101
4,4,54,49,50
5,3,74,44,65
1,1,122,146,147
7,6,36,32,36
2,2,100,116,103
6,5,38,38,47
2,3,77,86,82
2,2,83,102,94
4,4,51,58,55
2,2,111,127,119
3,4,45,71,70
1,1,115,132,130
5,4,48,44,76
4,2,69,56,88
4,4,56,51,54
7,5,34,31,47
2,2,94,125,116
5,6,36,47,38
1,1,122,147,139
2,1,127,106,123
4,2,79,51,86
8,5,36,26,48
2,3,77,90,84
4,4,56,54,54
6,5,41,40,44
3,3,67,63,67
6,6,31,34,42
5,3,57,47,118
5,4,45,47,53
1,1,126,142,143
2,2,81,98,92
1,1,128,144,149
4,3,63,59,75
5,5,44,41,46
2,2,85,108,101
5,3,56,48,74
7,6,34,30,33
1,1,124,143,139
1,2,105,129,118
5,5,44,42,41
5,5,47,46,48
2,2,117,99,124
5,3,58,49,81
4,4,48,54,80
4,4,55,56,53
8,6,30,25,46
4,4,55,50,54
4,5,45,58,48
7,4,45,32,52
3,4,46,72,62
3,2,103,73,100
6,4,46,40,52
5,5,44,43,45
5,3,70,48,79
5,4,52,47,49
2,2,96,92,125
3,4,51,70,56
6,6,33,34,34
3,4,48,72,62
5,5,43,42,44
3,3,51,77,77
3,3,66,74,70
4,4,55,54,47
1,1,115,130,148
4,4,54,61,58
2,3,61,97,95
5,2,86,45,63
7,6,34,32,32
4,4,59,56,59
5,5,36,44,42
6,4,46,36,56
4,2,67,60,88
4,6,35,50,39
3,4,48,63,51
2,2,95,118,112
3,3,71,78,77
3,3,58,83,73
2,2,94,114,105
3,4,50,63,55
2,2,79,89,85
6,5,35,35,43
2,2,104,116,110
5,5,46,47,47
3,3,63,78,71
4,5,42,51,48
3,4,44,68,59
5,5,37,43,42
4,3,64,61,60
5,5,48,47,46
3,4,48,69,63
6,4,42,34,50
6,5,34,40,46
3,3,54,78,66
2,2,100,118,113
2,2,106,124,117
6,6,30,35,34
7,6,35,29,40
3,4,49,73,64
5,5,42,46,45
3,3,76,75,79
2,2,97,121,114
2,2,85,98,92
2,2,87,112,102
5,4,49,41,52
4,4,58,56,57
6,6,35,35,40
3,2,82,72,148
3,3,70,76,71
2,2,79,96,93
6,6,36,38,35
5,5,47,43,43
2,2,94,110,102
2,2,103,119,115
4,3,59,60,72
4,4,53,60,57
5,5,44,43,46
3,3,52,74,83
1,2,104,134,117
5,6,39,48,38
2,2,87,92,90
5,4,53,41,48
1,2,111,128,116
2,2,103,115,110
5,5,40,47,49
4,3,58,60,63
5,5,39,48,61
7,6,33,32,34
4,5,40,55,49
4,2,66,56,91
3,3,61,74,68
2,2,100,121,115
4,2,86,58,84
4,5,48,55,40
3,4,55,65,60
5,5,42,44,37
5,5,40,43,43
2,2,91,116,107
2,1,128,106,126
3,3,70,66,83
2,1,106,112,139
3,3,70,65,82
5,5,45,44,45
2,3,62,97,90
3,3,77,83,82
6,5,40,40,43
2,2,94,116,108
2,2,96,118,114
6,4,45,35,83
6,6,41,37,33
8,6,33,28,37
7,5,35,31,41
4,4,51,57,55
5,4,41,41,66
4,5,55,54,40
6,4,48,35,66
3,4,50,65,54
6,5,41,34,47
5,4,48,49,51
3,2,89,83,113
3,3,76,81,77
7,5,38,32,42
4,5,47,49,47
4,4,46,54,54
1,1,124,142,142
5,4,48,47,69
2,2,85,93,91
2,2,105,114,113
2,2,77,88,86
4,5,40,54,44
2,2,88,102,91
4,4,52,53,52
6,5,45,38,46
7,6,30,30,40
2,3,80,91,81
2,1,129,113,133
4,4,59,61,58
8,5,36,27,53
3,3,61,76,70
2,2,102,95,113
3,2,81,70,85
2,1,87,99,128
3,3,59,69,64
6,4,43,35,76
4,2,79,56,134
4,5,51,56,40
4,3,60,51,92
2,2,82,106,96
2,2,86,106,97
4,6,41,49,33
4,4,61,60,60
5,5,45,42,44
4,3,62,50,83
6,6,37,38,34
4,3,67,59,72
2,1,104,108,145
7,6,33,29,39
2,3,67,86,79
2,3,68,86,83
1,2,103,131,126
2,2,110,124,120
3,2,80,80,87
6,5,37,36,51
6,4,44,34,52
5,5,47,43,46
2,2,99,93,110
3,3,62,76,72
4,4,60,52,59
2,1,111,109,130
4,4,48,52,66
4,4,54,53,51
2,3,68,87,79
3,3,73,80,68
5,4,52,46,51
5,5,41,44,43
2,2,84,106,97
2,2,71,110,99
6,5,43,35,37
4,4,56,51,57
6,5,37,35,41
2,2,93,112,104
3,4,49,72,64
5,5,46,44,44
1,1,127,140,128
2,2,93,100,126
6,6,38,36,35
3,3,59,77,71
5,6,31,42,41
6,5,41,36,46
1,1,128,147,140
4,4,55,58,55
3,3,69,73,70
2,2,86,112,106
2,1,105,105,128
3,3,74,81,78
3,3,68,63,66
2,1,126,116,133
5,4,53,48,51
3,3,65,73,70
6,4,55,40,62
6,6,34,35,35
4,3,82,60,73
6,6,29,35,35
4,5,41,52,45
4,4,54,49,51
2,3,74,85,79
3,4,57,65,62
2,2,78,99,91
3,3,66,67,62
2,2,110,124,124
2,2,88,118,107
1,1,125,146,149
7,6,33,31,44
2,2,91,106,93
5,5,46,43,44
2,1,116,106,131
2,1,95,101,135
2,2,87,95,87
1,2,107,132,121
5,4,40,41,59
6,6,33,36,35
2,2,82,92,88
3,4,60,66,61
5,4,46,48,51
3,3,59,72,68
8,6,30,28,37
2,2,89,97,89
2,2,103,113,116
5,5,45,44,48
2,2,80,85,84
2,3,78,90,84
6,3,49,39,69
5,6,34,40,34
3,2,70,65,98
2,2,101,122,112
4,4,50,59,50
2,1,118,125,145
3,3,62,77,73
2,2,85,92,91
2,2,92,101,105
4,4,44,52,51
2,2,95,106,94
3,3,77,68,73
6,4,48,36,58
3,3,67,73,69
5,4,43,46,50
3,2,97,75,101
5,4,49,46,49
5,4,54,49,50
7,6,33,33,38
5,5,45,43,44
4,3,66,58,72
3,3,52,76,71
3,3,63,70,65
7,5,39,31,45
4,3,66,55,63
4,4,47,54,78
2,1,93,107,130
3,3,57,72,70
4,4,41,59,54
2,2,94,109,102
6,3,54,37,79
2,2,103,126,118
2,2,107,120,111
6,6,37,35,36
1,1,126,143,144
2,3,73,90,82
4,6,40,51,40
3,3,65,66,66
3,4,57,69,61
4,2,85,56,76
2,2,99,92,114
4,4,43,55,51
4,2,72,62,97
2,1,111,127,143
5,6,36,42,38
4,3,56,52,67
8,4,40,27,52
6,6,38,38,39
7,5,46,33,39
5,6,36,43,38
1,2,106,139,124
3,3,68,71,71
3,4,58,63,60
8,5,40,28,47
3,4,47,70,60
3,3,73,77,74
4,4,49,54,51
1,2,111,134,125
5,5,35,46,48
4,5,44,50,49
5,5,41,41,39
2,2,103,117,112
2,2,91,111,101
4,4,52,51,49
2,2,86,101,94
2,2,84,102,99
4,3,52,58,79
2,2,95,104,121
7,6,30,32,41
1,1,109,130,129
2,1,119,103,135
3,2,101,82,113
1,2,87,133,120
2,1,127,123,152
6,5,34,36,48
6,6,35,34,33
2,2,124,96,127
3,3,72,78,76
8,6,30,26,34
6,6,33,40,37
2,3,55,86,77
