gM,rbM,rI,gI,bI
3,3,27,35,33
3,3,27,35,34
3,3,28,35,34
3,3,27,32,31
3,3,25,27,27
3,3,22,21,23
3,3,23,26,28
3,3,24,29,29
3,3,24,28,29
3,3,23,25,26
3,3,21,22,25
2,1,16,15,14
2,3,20,18,20
3,3,22,20,23
3,3,24,23,25
3,3,27,26,27
3,3,31,29,29
3,3,30,28,28
3,3,27,24,26
3,3,25,25,27
3,3,32,36,34
3,3,35,41,37
3,3,38,44,37
3,3,39,43,36
3,3,35,35,32
3,3,28,25,27
2,3,19,18,19
3,3,24,25,27
3,3,28,31,32
3,3,32,38,37
3,3,36,45,41
3,3,40,52,45
3,3,44,57,46
3,3,45,55,43
3,3,41,45,38
3,3,33,31,31
3,3,24,21,24
2,2,19,17,18
2,3,20,17,19
3,3,23,22,25
3,3,26,28,30
3,3,30,35,35
3,3,34,42,41
3,3,38,48,46
3,3,42,56,50
2,3,47,61,51
2,3,47,59,48
3,3,43,48,42
3,3,35,33,33
3,3,25,23,26
2,3,21,18,19
3,3,23,20,21
3,3,25,22,22
3,3,27,23,23
3,3,28,24,24
3,3,26,23,23
3,3,24,23,27
3,3,28,30,32
3,3,31,38,37
3,3,35,44,43
3,3,40,49,48
3,3,44,56,52
2,3,48,60,53
3,3,48,57,50
3,3,44,46,43
3,3,35,33,34
3,3,26,23,27
2,2,20,17,18
3,3,22,20,21
3,3,24,23,23
3,3,28,27,26
3,3,35,35,30
3,3,38,37,30
3,3,37,36,29
3,3,32,29,26
3,3,25,23,27
3,3,29,31,33
3,3,33,39,39
3,3,37,46,45
3,3,41,52,50
3,3,45,57,53
2,3,49,61,54
3,3,49,57,50
3,3,36,33,35
3,3,27,23,27
3,3,24,24,24
3,3,27,29,27
3,3,31,35,31
3,3,35,41,34
3,3,40,47,37
3,3,44,52,38
3,3,45,51,37
3,3,40,42,32
3,3,31,28,27
3,3,23,19,21
3,3,29,30,34
3,3,34,39,40
3,3,38,47,46
3,3,41,53,50
2,3,45,59,54
2,3,49,62,54
2,3,49,59,50
3,3,45,49,43
3,3,37,35,34
3,3,27,24,27
3,3,21,19,19
3,3,23,23,23
3,3,26,28,26
3,3,29,33,29
3,3,32,38,34
3,3,36,45,38
3,3,41,53,42
2,3,45,58,43
2,3,47,59,41
3,3,44,49,36
3,3,35,33,29
3,3,25,21,22
3,3,29,28,32
3,3,33,36,39
3,3,36,44,44
3,3,40,50,49
3,3,43,55,51
2,3,46,58,52
3,3,46,56,48
3,3,42,48,41
3,3,36,35,33
3,3,27,25,26
2,2,17,17,18
3,3,21,19,20
3,3,26,29,27
3,3,28,34,30
3,3,31,37,34
3,3,34,42,38
3,3,38,50,42
3,3,42,55,43
3,3,45,54,40
3,3,41,46,35
3,3,34,32,28
3,3,25,20,22
3,3,23,21,24
3,3,27,26,30
3,3,31,32,35
3,3,33,38,40
3,3,36,43,44
3,3,40,49,47
3,3,40,48,43
3,3,38,42,38
3,3,32,33,31
3,3,23,24,24
3,3,25,29,27
3,3,27,33,29
3,3,29,36,32
3,3,32,39,36
3,3,35,44,39
3,3,38,47,39
3,3,39,44,36
3,3,36,36,32
3,3,29,27,26
3,3,25,24,27
3,3,28,29,32
3,3,30,34,35
3,3,32,37,38
3,3,33,39,40
3,3,35,41,40
3,3,34,40,37
3,3,32,35,33
3,3,28,28,27
3,3,23,22,23
3,3,25,28,26
3,3,26,32,29
3,3,28,35,31
3,3,30,37,33
3,3,32,39,34
3,3,33,39,34
3,3,33,35,31
3,3,29,28,27
3,3,26,26,28
3,3,27,31,31
3,3,28,33,33
3,3,29,35,34
3,3,30,35,34
3,3,30,33,32
3,3,27,28,28
3,3,24,23,24
3,3,24,24,25
3,3,26,28,27
3,3,27,31,29
3,3,28,33,29
3,3,29,33,30
3,3,29,31,29
3,3,27,26,26
3,3,23,23,25
3,3,26,28,29
3,3,21,20,21
2,3,20,18,19
3,3,25,25,25
3,3,26,26,25
3,3,22,21,22
3,3,23,23,24
3,3,23,24,25
3,3,20,19,21
3,3,20,19,20
2,2,17,17,15
3,2,18,19,16
2,3,22,18,19
2,3,21,17,19
3,3,24,21,22
3,3,27,25,23
3,3,29,27,24
3,3,29,25,23
3,3,25,21,21
2,2,21,17,18
3,3,29,29,27
3,3,34,36,30
3,3,38,41,31
3,3,38,39,29
3,3,32,29,25
3,3,28,29,28
3,3,33,38,33
3,3,37,46,36
3,3,41,52,37
3,3,42,49,34
3,3,36,37,28
3,3,28,24,22
3,3,30,34,31
3,3,34,42,36
3,3,38,50,39
3,3,40,52,39
3,3,40,50,35
3,3,34,38,29
3,3,27,25,22
3,3,26,27,27
3,3,30,35,32
3,3,34,43,36
3,3,36,47,38
3,3,37,48,37
3,3,36,43,33
3,3,31,33,27
3,3,25,23,21
3,2,19,19,18
2,2,18,17,17
3,3,33,42,35
3,3,34,43,35
3,3,33,41,33
3,3,31,36,29
3,3,27,27,24
3,3,22,20,20
3,3,21,22,20
3,3,21,21,19
3,3,25,23,25
3,3,31,36,32
3,3,31,37,31
3,3,29,34,29
3,3,27,28,25
3,3,23,22,21
3,3,20,23,21
3,3,22,25,22
3,3,23,26,21
3,3,22,24,20
3,3,26,24,25
3,3,27,27,27
3,3,27,27,26
3,3,25,25,24
3,2,18,19,19
3,3,19,21,20
3,3,20,24,22
3,3,21,26,22
3,3,22,26,22
3,3,21,24,20
2,3,22,18,20
3,3,19,22,21
3,3,20,25,22
3,3,20,24,21
3,3,19,23,21
3,3,19,22,20
3,2,18,21,20
3,2,18,21,19
3,2,21,23,18
3,2,20,22,17
3,2,19,19,16
3,3,20,23,19
3,2,20,22,18
2,2,19,17,17
3,2,20,19,18
3,2,21,20,18
3,2,22,20,18
3,2,21,19,18
3,3,22,23,19
3,3,20,21,19
3,3,22,22,20
3,3,23,24,20
3,3,24,25,20
3,3,24,23,19
3,3,20,23,20
3,3,21,25,21
3,3,23,25,20
3,3,21,22,19
3,3,22,24,21
3,3,23,25,21
3,3,24,26,21
3,2,22,21,18
2,2,18,18,19
3,3,19,19,19
3,3,20,20,19
3,3,21,20,20
3,3,21,20,19
2,2,19,18,18
3,3,21,25,22
3,3,22,25,21
3,3,22,23,21
3,2,21,21,18
3,3,20,20,20
3,3,21,21,21
3,3,23,24,22
3,3,24,25,21
3,3,23,24,21
3,3,22,21,19
3,3,20,21,20
3,3,22,23,20
3,3,20,22,21
3,3,21,23,22
3,3,22,25,23
3,3,24,27,24
3,3,25,27,23
3,3,25,27,22
3,3,23,23,21
3,3,21,21,20
3,2,18,19,20
3,3,19,20,21
3,3,20,21,22
3,3,22,24,24
3,3,23,26,24
3,3,24,27,25
3,3,25,28,24
3,3,24,27,23
2,2,16,17,18
2,2,17,18,19
3,3,19,19,21
3,3,21,22,23
3,3,21,24,24
3,3,22,25,24
3,3,23,25,25
3,3,23,26,25
3,3,23,25,23
3,3,22,22,21
3,3,20,19,19
3,3,22,23,24
3,3,22,24,25
3,3,22,25,25
3,3,22,23,22
3,2,18,19,21
3,3,19,20,22
3,3,20,21,23
3,3,22,22,26
3,3,23,23,27
3,3,23,25,28
3,3,22,25,26
3,3,21,21,22
3,3,19,19,20
3,3,19,20,23
3,3,20,21,24
3,3,22,22,27
3,3,24,23,29
3,3,27,25,35
3,3,27,26,37
3,3,25,26,35
3,3,23,24,31
3,3,20,20,23
2,2,18,18,20
3,3,21,22,26
3,3,24,24,29
3,3,27,25,34
3,3,31,28,40
3,3,35,30,47
3,3,40,33,52
3,3,41,33,56
3,3,39,33,56
3,3,34,30,52
3,3,28,27,44
3,3,24,23,35
3,3,20,21,27
3,2,18,19,22
3,3,25,24,31
3,3,30,28,39
3,3,37,33,50
3,2,46,40,62
3,2,56,48,75
3,2,66,57,84
2,2,71,59,89
3,2,68,57,89
3,2,57,50,82
3,2,43,39,69
3,3,30,29,51
3,3,23,23,36
3,3,19,20,26
2,2,17,18,21
3,3,26,24,31
3,3,33,28,41
3,3,43,37,57
3,2,57,51,76
2,2,73,70,95
2,1,88,91,112
2,1,99,106,123
1,1,103,115,127
1,1,101,112,126
2,1,91,98,119
2,2,71,71,101
3,2,48,43,76
3,3,30,28,51
3,3,21,21,33
3,2,18,19,23
2,2,17,17,19
3,3,25,23,29
3,3,32,27,39
3,3,43,36,57
3,2,60,54,81
2,2,80,84,106
1,1,100,117,127
1,1,116,140,141
1,1,124,149,148
1,1,128,151,151
1,1,127,150,150
1,1,119,142,145
1,1,99,115,129
2,2,70,70,100
3,2,42,37,68
3,3,25,24,41
3,3,19,19,26
3,3,23,21,25
3,3,29,24,32
3,3,39,31,48
3,2,56,48,74
2,2,78,80,105
1,1,101,119,132
1,1,119,148,148
1,1,128,155,155
1,1,132,155,157
1,1,132,156,157
1,1,130,154,155
1,1,117,141,144
2,1,89,96,117
3,2,54,46,80
3,3,29,26,47
3,3,20,19,28
2,2,17,18,20
3,3,24,21,25
3,3,32,25,35
3,3,45,36,56
2,2,65,60,88
2,1,90,101,122
1,1,112,141,146
1,1,126,154,156
1,1,131,156,158
1,1,133,156,158
1,1,133,155,158
1,1,124,149,149
2,1,97,107,124
3,2,60,52,85
3,3,32,27,49
3,3,21,20,29
3,3,25,21,25
3,3,34,25,36
3,2,49,37,60
2,2,70,64,95
1,1,94,110,130
1,1,115,147,151
1,1,127,155,157
1,1,132,156,158
1,1,131,155,156
1,1,122,145,146
2,1,93,100,119
3,2,57,49,81
